Date,Adj Close
4/1/1986,0.069423
5/1/1986,0.075343
6/1/1986,0.066194
7/1/1986,0.06135
8/1/1986,0.06135
9/1/1986,0.060812
10/1/1986,0.083416
11/1/1986,0.107094
12/1/1986,0.103866
1/1/1987,0.157413
2/1/1987,0.165216
3/1/1987,0.208269
4/1/1987,0.223876
5/1/1987,0.248093
6/1/1987,0.219571
7/1/1987,0.202349
8/1/1987,0.255627
9/1/1987,0.285226
10/1/1987,0.214189
11/1/1987,0.192662
12/1/1987,0.233563
1/1/1988,0.240021
2/1/1988,0.255627
3/1/1988,0.24325
4/1/1988,0.234639
5/1/1988,0.249708
6/1/1988,0.288456
7/1/1988,0.256165
8/1/1988,0.215265
9/1/1988,0.224952
10/1/1988,0.21096
11/1/1988,0.203426
12/1/1988,0.229258
1/1/1989,0.256704
2/1/1989,0.256165
3/1/1989,0.214727
4/1/1989,0.240559
5/1/1989,0.260471
6/1/1989,0.228181
7/1/1989,0.235715
8/1/1989,0.252936
9/1/1989,0.294913
10/1/1989,0.351958
11/1/1989,0.374562
12/1/1989,0.374562
1/1/1990,0.398241
2/1/1990,0.425149
3/1/1990,0.476812
4/1/1990,0.499415
5/1/1990,0.628574
6/1/1990,0.654407
7/1/1990,0.572605
8/1/1990,0.529553
9/1/1990,0.542468
10/1/1990,0.548926
11/1/1990,0.622116
12/1/1990,0.647948
1/1/1991,0.844916
2/1/1991,0.89335
3/1/1991,0.9138
4/1/1991,0.85245
5/1/1991,0.945015
6/1/1991,0.879897
7/1/1991,0.94932
8/1/1991,1.101082
9/1/1991,1.149517
10/1/1991,1.212481
11/1/1991,1.256073
12/1/1991,1.436895
1/1/1992,1.553138
2/1/1992,1.595115
3/1/1992,1.530536
4/1/1992,1.423979
5/1/1992,1.562825
6/1/1992,1.356171
7/1/1992,1.409449
8/1/1992,1.443354
9/1/1992,1.559597
10/1/1992,1.719431
11/1/1992,1.804192
12/1/1992,1.654044
1/1/1993,1.67584
2/1/1993,1.615296
3/1/1993,1.792082
4/1/1993,1.656466
5/1/1993,1.794504
6/1/1993,1.7049
7/1/1993,1.433666
8/1/1993,1.455461
9/1/1993,1.598344
10/1/1993,1.552331
11/1/1993,1.54991
12/1/1993,1.562018
1/1/1994,1.649201
2/1/1994,1.598344
3/1/1994,1.641936
4/1/1994,1.792082
5/1/1994,2.08269
6/1/1994,2.000351
7/1/1994,1.995508
8/1/1994,2.252212
9/1/1994,2.174717
10/1/1994,2.441107
11/1/1994,2.436264
12/1/1994,2.368456
1/1/1995,2.300648
2/1/1995,2.441107
3/1/1995,2.755933
4/1/1995,3.167627
5/1/1995,3.28145
6/1/1995,3.501828
7/1/1995,3.50667
8/1/1995,3.584165
9/1/1995,3.50667
10/1/1995,3.874774
11/1/1995,3.375896
12/1/1995,3.400114
1/1/1996,3.584165
2/1/1996,3.823917
3/1/1996,3.995861
4/1/1996,4.388181
5/1/1996,4.601295
6/1/1996,4.654572
7/1/1996,4.567392
8/1/1996,4.746598
9/1/1996,5.109857
10/1/1996,5.318128
11/1/1996,6.07855
12/1/1996,6.403063
1/1/1997,7.904535
2/1/1997,7.555805
3/1/1997,7.105368
4/1/1997,9.4157
5/1/1997,9.609437
6/1/1997,9.793489
7/1/1997,10.955922
8/1/1997,10.243934
9/1/1997,10.25362
10/1/1997,10.074412
11/1/1997,10.965611
12/1/1997,10.01629
1/1/1998,11.561355
2/1/1998,13.135482
3/1/1998,13.871684
4/1/1998,13.968563
5/1/1998,13.14517
6/1/1998,16.797148
7/1/1998,17.039309
8/1/1998,14.869438
9/1/1998,17.058691
10/1/1998,16.40966
11/1/1998,18.908892
12/1/1998,21.495312
1/1/1999,27.123409
2/1/1999,23.268011
3/1/1999,27.782129
4/1/1999,25.2054
5/1/1999,25.011667
6/1/1999,27.956493
7/1/1999,26.600323
8/1/1999,28.692694
9/1/1999,28.072721
10/1/1999,28.692694
11/1/1999,28.222874
12/1/1999,36.190376
1/1/2000,30.339493
2/1/2000,27.704632
3/1/2000,32.93557
4/1/2000,21.621233
5/1/2000,19.393246
6/1/2000,24.798557
7/1/2000,21.640596
8/1/2000,21.640596
9/1/2000,18.69578
10/1/2000,21.35
11/1/2000,17.785213
12/1/2000,13.445465
1/1/2001,18.928272
2/1/2001,18.288933
3/1/2001,16.952129
4/1/2001,21.001266
5/1/2001,21.44455
6/1/2001,22.628681
7/1/2001,20.517693
8/1/2001,17.684465
9/1/2001,15.861774
10/1/2001,18.02545
11/1/2001,19.903938
12/1/2001,20.536301
1/1/2002,19.748947
2/1/2002,18.084339
3/1/2002,18.695004
4/1/2002,16.199656
5/1/2002,15.781177
6/1/2002,16.956009
7/1/2002,14.872935
8/1/2002,15.213912
9/1/2002,13.558607
10/1/2002,16.57473
11/1/2002,17.879757
12/1/2002,16.026054
1/1/2003,14.71174
2/1/2003,14.693141
3/1/2003,15.05759
4/1/2003,15.903446
5/1/2003,15.30637
6/1/2003,15.94698
7/1/2003,16.425892
8/1/2003,16.49431
9/1/2003,17.290405
10/1/2003,16.257956
11/1/2003,16.080223
